name,martial_art,record,strengths,weaknesses,bio,photo,striking,grappling,stamina,defense,speed,video_id,detailed_stats,recent_fights,is_active,weight_class,p4p_ranking
Ian Garry,MMA,15-1-0,Strong record,TBD,No bio available,,80,80,90,88,74,,{},,True,,
Rob Wilkinson,MMA,19-3-0,Strong record,TBD,No bio available,,88,88,90,90,78,,{},,True,,
Simeon Powell,MMA,10-1-0,Strong record,TBD,No bio available,,70,70,82,78,70,,{},,True,,
Giga Chikadze,MMA,15-4-0,Strong record,TBD,No bio available,,80,80,90,82,74,,{},,True,,
B.J. Penn,MMA,0-0-0,Experienced,TBD,No bio available,,50,50,60,60,60,,{},,True,,
Phil Davis,MMA,24-7-0,Strong record,TBD,No bio available,,90,90,90,90,84,,{},,True,,
Abraham Bably,MMA,5-1-0,Strong record,TBD,No bio available,,60,60,72,68,64,,{},,True,,
Alexander Romanov,MMA,18-3-0,Strong record,TBD,No bio available,,86,86,90,90,78,,{},,True,,
Michel Pereira,MMA,31-12-0,Strong record,TBD,No bio available,,90,90,90,90,90,,{},,True,,
Carlos Prates,MMA,21-6-0,Strong record,TBD,No bio available,,90,90,90,90,80,,{},,True,,
